,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,clean_text,rating
165261,A30638B9S2GOM8,B00FG1U7FQ,apples2apples,"[0, 0]","Koryo is an enjoyable game that has many more pluses than minuses.  It only takes 15 minutes or so to play once you get the hang of it - which happens after just a couple of games. It's great because you get to start again quickly if things aren't going well in the current game. Some of the other card games out there can be SO time consuming, which isn't always practical.The box indicates Koryo is for ages 14+.  There&#8217;s nothing in the game that&#8217;s inappropriate or overly complicated for younger players.  An average 10 or 11 year old should pick it up pretty quickly as our youngest son did.  I played with my 11 year old son and we had no difficulties.  He actually helped ME understand the challenging aspects!It&#8217;s really a numbers and logic game where you leverage the special abilities of each card type to achieve `the highest point total at the end.  We had to reference the &#8220;cheat sheet&#8221; pages that came with the instructions the first couple of times we played in order to remember the special abilities of each numbered set of cards.  Then we realized that the numbered cards had a small picture on the bottom center that gave a hint as to its abilities - after that we didn&#8217;t need the cheat sheet anymore.Play goes quickly through the 8 rounds.  You get dealt 10 cards for the first round declining by 1 with each successive round.  You play cards of 1 type in front of you but only get to keep up to 3 the first round with the number increasing by 1 each round.  At the end of each round you collect up the cards not played in front of you and reshuffle for the next round.  By having the most of any given numbered set in front of you, you get to &#8220;control&#8221; that card's special abilities. At the end of the last round add up the numbers of the sets you &#8220;control&#8221;.  And that determines the winner! Then you just reshuffle and play again!  We've both enjoyed playing and we've both experienced the thrill of victory a few times!The strategy changes with each game so you don&#8217;t grow tired of it and there will continue to be plenty of playability to the game.I didn&#8217;t really get the &#8220;political intrigue&#8221; of the game, so i'll have to look into that a little more.  The &#34;steampunk universe&#8221; aspects of the game isn't what you might think of if you're familiar with the Victorian Steampunk, or jewelry steampunk. This is Korean Steampunk, and it's revealed in the incredible artwork on the Koryo cards.Though we haven&#8217;t done it yet, we both think it will be even more fun with 3 or 4 players.",4.0,"Fun quick strategy card game, and not one you'll tire of quickly!",1405987200,"07 22, 2014",koryo enjoyable game many pluses minuses takes minutes play get hang happens couple games great get start quickly things arent going well current game card games time consuming isnt always practicalthe box indicates koryo ages theres nothing game thats inappropriate overly complicated younger players average year old pick pretty quickly youngest son played year old son difficulties actually helped understand challenging aspectsits really numbers logic game leverage special abilities card type achieve highest point total end reference cheat sheet pages came instructions first couple times played order remember special abilities numbered set cards realized numbered cards small picture bottom center gave hint abilities didnt need cheat sheet anymoreplay goes quickly rounds get dealt cards first round declining successive round play cards type front get keep first round number increasing round end round collect cards played front reshuffle next round given numbered set front get control cards special abilities end last round add numbers sets control determines winner reshuffle play weve enjoyed playing weve experienced thrill victory timesthe strategy changes game dont grow tired continue plenty playability gamei didnt really get political intrigue game ill look little steampunk universe aspects game isnt might think youre familiar victorian steampunk jewelry steampunk korean steampunk revealed incredible artwork koryo cardsthough havent done yet think even fun players,1
44070,A6KKZ8NROZAYK,B000VO1CIE,AJ,"[8, 8]","These are very sturdy, wooden, nicely made and hold up. But they are too heavy for the airplane. Good for car trips.",3.0,"Okay for car, but heavy for plane",1365811200,"04 13, 2013",sturdy wooden nicely made hold heavy airplane good car trips,0
135884,AK1WNXTHNCG5V,B008RWVE76,"Mynana ""Nancy""","[0, 0]",This is such a fun game for the whole family. We started playing one night and were still playing 3 hours later. We were definitley shocked that we were still playing and everyone was still there and had not cut out on us. Everyone loves this game. Love it.,5.0,Great Game,1352764800,"11 13, 2012",fun game whole family started playing one night still playing hours later definitley shocked still playing everyone still cut us everyone loves game love,1
147758,AB358K0HDMPAI,B00BMMO1AU,A. Schmoll,"[0, 0]","My 3-year-old granddaughter loves to change her dolls' clothes and loves Sofia. Unfortunately, the only part she has really mastered is taking things off. I bought her this playset for her birthday last weekend and she was in love. Finally a doll she can dress and her favorite character too. Seems well made and ready to withstand the love of little hands for a good long time -- maybe even long enough for her little sister.",5.0,Granddaughter loves it,1392336000,"02 14, 2014",yearold granddaughter loves change dolls clothes loves sofia unfortunately part really mastered taking things bought playset birthday last weekend love finally doll dress favorite character seems well made ready withstand love little hands good long time maybe even long enough little sister,1
8594,A1G0KB82S6LL0R,B000058A39,"Sagebrush Dragon ""Sagebrush Dragon""","[0, 0]","We have had this toy for 3 years now and its been through 2 of my kids and countless babysat kids. Everyone loves it and in 3 years we have only had to change the batteries once. It would be better if there was a way to collapse it for storage and someplace on/in it to store the balls which are forever being lost. Also, the music gets beyond annoying, more variet would be better. The kids love this toy and so do the cats.",4.0,Good toy overall,1125360000,"08 30, 2005",toy years kids countless babysat kids everyone loves years change batteries would better way collapse storage someplace onin store balls forever lost also music gets beyond annoying variet would better kids love toy cats,1
125493,A1N2KOKBP38342,B007U7M0L8,Fisher,"[3, 4]","My grandson is 3yrs old and has enjoyed the letter factory.  He is doing very well, and I would recommend this to all.",5.0,wonderful Tool for the little ones,1354233600,"11 30, 2012",grandson yrs old enjoyed letter factory well would recommend,1
167314,ANCOMAI0I7LVG,B00IVFCCMA,Andrew Ellington,"[1, 1]","First, this is not for a teenager.  Anyone attempting to state that it is, is wrong.  If a teenager pulled this thing out of their backpack they would instantly lose all their friends and be chastised by their classmates until the end of time.  This is for kids under the age of ten who all want to be teenagers and don&#8217;t understand what it really means to be a teenager.  Thus, my six year old BEGGED for this.  She was so excited when I handed it to her.  Privacy!  Voice recognition!  Invisible ink!  Secret compartment!  She flashed it around and told us we&#8217;d never get inside.  Little did she know, neither would she.  Yup, that voice recognition is a total joke.  My daughter can ramble off her password as clear as day and alarms will go off and that annoying British chick will tell her she&#8217;s an intruder or something like that.  Couple that with the fact that she only has 25 very small sheets to write on and a bulky journal that won&#8217;t really fit nicely in anything and you have yet another waste of a toy.  Still, she pretends to love this and when she is able to open it, she uses it and pretends to be sixteen, so joy to our world.",2.0,You are not who you say you are even though you are actually that person&#8230;,1404691200,"07 7, 2014",first teenager anyone attempting state wrong teenager pulled thing backpack would instantly lose friends chastised classmates end time kids age ten want teenagers dont understand really means teenager thus six year old begged excited handed privacy voice recognition invisible ink secret compartment flashed around told us wed never get inside little know neither would yup voice recognition total joke daughter ramble password clear day alarms go annoying british chick tell shes intruder something like couple fact small sheets write bulky journal wont really fit nicely anything yet another waste toy still pretends love able open uses pretends sixteen joy world,0
114714,A1NZD47Y4IFJR5,B006O6F932,MG,"[4, 6]","This is the second one of these I have purchased because the first one came damaged from another seller because it was packed improperly. I have inspected this one and it looks fine. The way it folds up is fantastic that they can get all that fun into a smaller portable package. The only concern I have is that it may get broken if something is twisted or turned the wrong way when closing it up, but it is totally worth the risk because it looks so fun for my daughter.",5.0,Looks great so far,1343088000,"07 24, 2012",second one purchased first one came damaged another seller packed improperly inspected one looks fine way folds fantastic get fun smaller portable package concern may get broken something twisted turned wrong way closing totally worth risk looks fun daughter,1
128874,A5BJMAHZWGJ7N,B00840L9XK,Melaina Lara,"[1, 1]","My daughter really liked playing with her other Bratzilla doll, so I picked up this one so she would have another friend. About 5 minutes into playing the tie on the cape broke, but a few stitches later it was good as new again. Other than that this one has held up really well.I wasn't sure at first, but after getting them I'm really pleased that I did. They bridge the gap for kids in the age between feeling that Barbies a too 'babyish' but still want to play dolls.I liked that they come with the stands, I figured she could stand them up when she was done. But, my daughter tossed them and hasn't missed them.If you are considering this, I highly recommend it. The price is right, totally worth it.",4.0,Cast a spelletta!,1362441600,"03 5, 2013",daughter really liked playing bratzilla doll picked one would another friend minutes playing tie cape broke stitches later good new one held really welli wasnt sure first getting im really pleased bridge gap kids age feeling barbies babyish still want play dollsi liked come stands figured could stand done daughter tossed hasnt missed themif considering highly recommend price right totally worth,1
69579,A1OK6MY2A7X7DV,B002YIRKKY,"Marie McRae ""I &#60;3 Red Bibles""","[0, 0]","My daughter and son love these beads! They are colorful, durable, creative, funky shapes--and just plain fun! I remember plain, boring, uniform size pop beads as a kid. When my little girl wanted jewelry for Christmas, and I found these, I knew she would have a blast! I always had fun with mine-and these are so much &#34;cooler&#34;!  well she loves them, but so does my son. she makes jewelry. He makes snakes, etc. Highly recommended! Your child will love them!",5.0,Funky Pop Beads,1356739200,"12 29, 2012",daughter son love beads colorful durable creative funky shapesand plain fun remember plain boring uniform size pop beads kid little girl wanted jewelry christmas found knew would blast always fun mineand much cooler well loves son makes jewelry makes snakes etc highly recommended child love,1
