original_index,true_label,predicted_label,actual_review_score,text
33377,1,0,4,month old daughter loves little bowling set admit quite disappointed saw small compared thought going ball isnt heavy perfectly round either makes difficult roll straight pins daughter usually ends throwing ball pins instead pins also cute colorful even minor disappointments would still buy product
33408,1,0,5,daughter months old loves little creatures think maybe game little difficult though seems like ball weight would better
33423,1,0,4,daughter never seen bowling took get understand set pins step back throw maybe watching real bowling first would good idea got though fun fun although daughter quickly started trying throw ball inappropriate things ball slightly heavy enough knock pins still soft wasnt really problem good something fun good
33438,1,0,4,got kindle limited time deal cant complain paid full price would probably less thrilled solid construction heavy duty flimsy put track right carpet flat board beneath didnt many problems boys started play would jump track didnt right even years old able figure set track properly wouldnt fall went around corners week set christmas eve took week later boys played times week far good didnt use enough really comment durability didnt issues track soldering read reviews
33490,1,0,5,cute little kitchen toys well made best quality find bought several never disappointed fact durable wood makes better hold great dont feel like making short term investment
33665,1,0,4,never ridden plasmacar assembling thing strange experience wheels dont lineup one would expect steering wheel look small useless said fact thing moveglide way turns steering wheel cool need take place bigger surface driveway see really four stars tipping big problem far
33816,1,0,4,seller fine would purchase price good arrival prompt game wierd doesnt seem point directions assembly transport little penguins stairs slide staying distance apart boys enjoyed throwing things penguins try knock others guess means durable seems appropriate children way would choking hazard
33848,1,0,5,simplistic cheap money good yr old loves even though cheesy looking
33853,1,0,4,always fun dont think kids made bottle yet though teens sure didnt use
33927,1,0,5,little afraid price cheap would cheaply made butit sturdy working stove oven doors nice price
34030,1,0,5,surprised quality little paints last one brought set book poor color quality terrible paint ordered separately hoping crayola quality expecting much surprised color great take much water activate rinse brushes happy far paint disappearing fast cheaper sets price well worth disappointed three year old grandson even commented paint good
34061,1,0,4,son really likes toy parent must prepared loud husband always asking bought thing hahahahaha large space dont mind loud toys go otherwise skip
34193,1,0,4,ok sooooo bought year old ok part bought cause potty pictured well came potty size barbie potty nothing got looked like picture shown knew reading reviews wasnt going look exactly like pic didnt think much different recommend went great deluxe nursery
34205,1,0,5,ok another birthday gift bought along babies great first theres nothing wrong products gal since lost every piece buy known thrilling excitement wasnt going last longer week would skipped lol course shes way play food also product depends child know better anyone wont buy product one like reaches maybe lol better keep items also lose barbie stuff well shame cause santa bringing big doll house loaded year lol wish luck keeping pieces product good arrived nice package
34258,1,0,5,theres much say gameif dont know somebody fix situation even youve never played
34344,1,0,4,cute fishing set especially youre john deere thing fish little hard catch sice lay sides magnet mouth addition noise john deere song make cute thing little weird fishing line doesnt really go much short distancecute toy probably one going hold little kids attention super long time
34395,1,0,4,son mos loves however one wayyyy overpriced dont know cheaper bought love bc entertain kids yo nice doesnt keep air week price expected mean though buy another balls make even better bottom hard doesnt mind
34479,1,0,4,fun toy spend child considerations manufacturer recommends years toy theres way year old probably least years handle handle plaster hard impossible approximately year old dig apart plus may flying plaster pieces maybe ok year old wo adult plaster hard tool given cut joke unless want dig hours young daughterson likely never patience get chisel hammer break apart plaster reasonable time keep yr old interested block plaster smaller expect given size box box lot empty space plaster block xx inches probably small older kid break apart fast fine younger one adult works crystals found time span keeps excited said yr old loved price amazon appropriate buying work considerably make certain pieces plaster fly face actually good thing together thus spent valuable time together kit contained crystals total five different types get couple crystals type like basic quartz however six year old doesnt seem care much quantity finding crystals bit interesting type kit also comes nice pouch place crystals cardboard board plastic holding caps display crystals daughter thought display board nice summary knowing buying approaching correctly plenty fun one afternoon whenever child child first birthday toy wanted play
34483,1,0,5,kids kit ages neither fully excavated crystals kit lot fun working get little frustrated nothing happening crystal started peek excitement grew loved getting crystal researching rock books kids rock hounds really suited idea rocks gems minerals etc likely enjoy like isnt instant gratification like toys activities gratification earned effort diligence reviews seem indicate kids didnt like work see end result sad science process always instant thing guess child given expects something without working miss process huge part learning cognition adult cant seem help child work thats even sadder millions things kids require work effort imagination certainly dont enrich way type activity want something fun educational requiring patience effort little ordinary highly recommended plus price cant go wrong
34503,1,0,4,bought son cute loud supposed meowing sounds like yapping sound dog
34520,1,0,4,car good young children moves slow rate speedthe price fair knocked one star wont work low pile carpetthe tires small belly rubs floor
34524,1,0,5,nice little car drive around home office get bored cheap well good buy toy money
34537,1,0,4,year olds interested activity probably younger set kids
34540,1,0,4,year old thought great however liquid give one time supply bit disappointing otherwise fun thing sure
34575,1,0,4,bought daughter go rescue pack loves cheap obviously stay closed get pay worth price paid
34620,0,1,3,kids enjoyed kept us busy solid hour good practice dexteritythat said couple issues kit made knock two stars first self adhesive patterns dont stick well frustrating kids second arent enough tissues particular color complete one pattern using color fully matching box examples im also skeptical enough tissues complete patterns provided
34623,0,1,3,ok good craft box rainy days reviewers right sticky parts dont stick bottle elmers glue turns good craft even toddlers seems like good fine motor practice bunch tissue paper little balls decide put shapes good size though makes good little project rainy day
34624,0,1,1,daughter thoroughly enjoys craft projects alex toys little hands series quite popular around house particular activity however left much desired weve gotten three kits different sellers different times three instances mounting boards sticky enough tissue paper actually stickthe first time around living overseas purchased local vendor thought perhaps got old set set exposed temperature extremes second set purchased amazon us tissue paper absolutely would stick mounting board rendering craft frustrating unusable third set part larger little hands craft package daughter discovered arts crafts shelf today reduced tears extremely poor productits also worth mentioning tissue paper included project bleeding tissue paper daughter paused get drink water working illconceived project hot pink stains hands outfit desktop bleeding tissue paper great stuff certain projects probably shouldnt included without warning craft kit geared toward young children
34627,0,1,3,love concept final project looks great however glue hold tissue well pink color rubs fingers
34633,0,1,1,mess assured would easy assemble saw pieces attached sheets plastic remember getting scratched sharp plastic nubs assemblying model airplaneswell x harder boxed returned immediately little tikes fisher price vote money
34652,0,1,2,game seemed perfect premise discover city filled zombies fight well whole game boils rolling dice repeatedly determine far move combat outcomes many zombies move tends drag long isnt much fun mind
34658,0,1,2,mechanics arent good zombie game theme great still fun play recommend looking zombie type games better choices sequelsplease click yes review helpful encourage continue writing updating reviews leave comment questions happy answer help
