original_index,true_label,predicted_label,actual_review_score,text
133875,1,0,4,although priced fairly velcro srtips semi sewn tear come loose easily disassembling unit product fabric covered particle board withstand much weight pricewise good enough get year
133927,1,0,4,versatility game struck immediately like toy played independent game put boat floor play pirate penguins far fame goes easy concept teaches kids balance fun way doesnt love piratesi couldnt give five stars boaticeburg really cheap flimsy son popped floor boat trying put one masts masts also dont fit well doesnt take much fall downall great gift idea ages
133935,1,0,4,thought game might little hard little kids fact complained first hard penguins kept falling shipthe concept game simple enough like number similar objectbalance games doesnt mean easy playafter rounds kids got hang although still pretty tough keep penguins therewe devised different ways play adding pile fell etcit fun game wasnt easiest get back box storage take look everything packed try put back way
133961,1,0,5,lambie stopped talking two days took voice box realized wires poorly attached button hand toys r us reviews bad reason dont waste money especially marked pricesupdatei contacted company offered ship new one right away said realized large batch werent working right weve new lambie two months shes still working great thrilled customer service
133984,1,0,4,son huge jake neverland pirates fan knew saw isnt spending much time hoped probably time honestly idea basketball hoop pirate ship doesnt mind
134094,1,0,4,grandson previous chuck talks rolls plays games one looks hoping wouldnt case disappointed didnt drive entertaining watch flip move air horns dump basket grandson likes push trucks around doesnt seem mind doesnt still cute toy recommend birthdaychristmas etc presents
134100,1,0,4,first truck frustrated still box says try points appears exhaust pipes top wiggle nothing happens im fighting packaging get open notice says press lights still attached box yet free cardboard prison started jabbing truck mouth eyes less expected lights separate panels move little bit still nothing assumed starter batteries dead freeing played super dad fix card getting four c batteries screwdriver replace starter batteries find presses nothing walking away defeat hear sound motors chucks voice behind turns year old knew turn starter batteries later tested fine press lights though horns obscured view inside box top chucks head activate frustrating son daughter big fans show enjoyed watching contort hum talkthe motion sound lot like tickle elmo style toy quick low torque movements safe little hands still appearing exciting dont see theyll learn interactive plaything bad tickle pad chin antics nothing amazing nothing disappointing either good solid birthday pick truck andor chuck fan aged pros interactive doll made truck lots sayings doesnt get repetitive delights fans show hums sings parts theme songcons frustrating packaging nonobvious activation button real educational value maybe exercise stretch considering really human like
134112,1,0,4,tumblin chuck generously sized toy nearly foot long nine inches high chose toy twoyearold grandson mesmerized chucks motions sounds speech toy young boy girl interact amused im impressed rugged toy toy dropped multiple times still go merry way reminds old timex commercials shown decades agogabe especially likes watching chuck flips roll across floor also likes watching dump load blocks onto floor refill chucks bed blocks wish truck also flashing lights sensory stimulation maybe thats expecting muchi plan buy tumbling chuck book hoping gabe associate joyful feelings books reading
134134,1,0,5,toddler daughter obsessed things robots imagine fondness oldschool transformersthis amazing toy kept interest days days greatit disappointing toy meets lukewarm reception opened box literally jumped arms yelling yay loves trap door allshe calls bobot train even wants lug us errands let take optimus prime comes since small enough carry around big enough lose forget storeshe says little person came girl box says name cody guess could rightthe sound effects annoying compared toys house suddenly developed cases laryngitis winkif get toy child rewarded ton smiles time winwini would spend money replace toy broke dont say many things toybox
134233,1,0,4,sadly wish could find place sells replacements plug hole daughter always loses otherwise great item herfairly durable cute
134389,1,0,5,seeing reviews mentioned poorly made mats hesitated buying particular one looked pretty good ordered disappointed kids ages playing blast since arrived fun game remember little spinner goes little slow big deal may work play mat doesnt appear flimsy anything
134431,1,0,5,didnt think game could get better bought expansion packs wrong original thought
134461,1,0,5,game isnt everyone dont sense humor buy game maybe kids
134498,1,0,5,dont know came stuff goodness gracious never dull moment game enjoy
134556,1,0,4,one got isnt nearly roundly fluffy one shown hope itll better brushing
134572,1,0,4,son struggles letters thought would great chance work letters fun unfortunately smart wont play cause knows im trying sneak school stuff play time
134660,1,0,4,nicely designed colorful seaplane one moving part propeller open cockpit child place small pilot like lego character floats well good playtime tub propeller fin nine inches floaters nine inches wingspan nine inches price would guess probably paying twice much unrecycled plastic wouldnt think half price since oil already turned plastic one must pay green guessoverall nice toy packaging simple brown cardboard practical guess small child enjoy plane three year old loves
134677,1,0,5,characters cute dont look like cheap poorly made plastic toys good quality daughter loves
134774,1,0,4,little bit hard time putting game board together printed cardboard little difficult place realized bottom folds slips right part holds back difficult insert well slider swampy needs right marbles roll game instead tub come play without showerhead attached gets waygame play pretty easy choose card set board like shows card duck bomb pieces made balance marble top tilt spill marble dont put rightall said year old son loved game loves app really excited see game set hard part able card tried minimal help methe marbles kinda fly around randomly reminds plinko price right times flew completely board obstacles get stuck tried knock next turn pointsso far hes really excited game ready tackle design cards
134778,1,0,4,son loves wheres water app saw game couldnt wait show concept similar app reallife simulation assembly tricky part set board attach pegs add obstacle courses based scenario cards draw player takes turns scenario sending marbles chutes try get swampys tubits fun game kids blast sending marbles chute trying aim tub issue came keeping game together perhaps got loose set trouble keeping pieces attached board every time marble would go piece two would get knocked wed reset next marble scenario cards got little frustrating younger child would stayed together would given higher ratingi love game makes kids think going get marble board different scenarios comes cards plenty work even come combinations additional play set similar app kids played app get concept quickly overall fun game would even better pegs pieces fit little snugly easily knocked board
134780,1,0,4,toss rating rating game simple figure play fun kids ages blast playing said bit let construction game within wheres water game different pegs duck pegs poison pegs water shoot pegs etc also game cards use set board round simple easy enough yes however couple pegs fit holes well loose place marbles pegs flip sending marble board thus upsetting marbles pegs happens reset board actually stopped using certain pieces made board sets rather use cards needless say frustrating annoying pegs fit gameboard properly would hesitate give higher ratingactual game play simple player picks one cards sets gameboard according picture card players take turns sending marbles top water pipes goal get many yellow blue marbles possible purple marbles take points away beware player points end gets playing card play continues one player cards winner say one aspects like game fact played alone one person many games board games one player fun playing also love colorfulness game visually appealingwould pay game honestly peg issue issue would apt pay price much would pay would say
134790,1,0,4,popular game app wheres water crafted pretty decent board game stays true concept app games decent job approximating appswhile physical board game multiplayer aspect going apps single player im mistaken apps honestly engaging cant picture kid going back physical board game often get app gamesalso build physical board game feels flimsy cheap fortunately two game apps included free board game alone makes pretty good deal looking cheap engaging holiday gifti wish constructed better get price point pretty good deal overall recommended
134796,1,0,4,yeah easy product find local retail outlets isa mindless game kids love wheres water ok guess
134802,1,0,4,game lot fun get going problem getting set getting pieces stay start playing getting game set first time takes minutes punch cardboard pieces put game board together put two dozen plastic pegs get ready setting level draw game card set game look like picture card place yellow purple marbles sit according design two players take turns dropping five blue marbles spouts top turn slide alligator bottom back forth players side person points based marbles side wins card first three cards wins unfortunately sometimes drop marble knock piece knock peg reset get kids delicate playing destroy game set better older kids although worked fairly well three year old playing nine year old takes less time play round set guess would less frustrating parents kids old enough set game
134809,1,0,4,toy fun children already love know wheres water app said encourage parent introduce children appschildren never heard app didnt enjoy toy quite much pieces always stay place reviewers also foundeach card shows pegs supposed arranged frame players expected configure pegs frame accordance picture pegs properly placed players place marbles funnels marbles fall depending peg configuration player marbles hisher side wins sometimes pegs fall board usually stay placei would recommend game even age group probably age group marbles choking hazard also setting pegs according card designs might bit complicated yearold children
134869,1,0,5,really wish could give product horrible rating review price freaking high thing cant daughter loves dream lite product advertised lights cuddles minute timer ect dont think could take much rough play wish werent much money buy seeing make child happy guess worth since dont buy another one ok
134915,1,0,5,hello guys review dragon ball z sh figuarets gohun ok head ok face come many hands heads
134954,1,0,5,better expected price paid wouldnt spend much though used rewards yr old completed tasks chores assigned
134957,1,0,5,character less screen time poor fellas probably zuckuss yea google decent detail coloring
135125,1,0,4,well constructed put together easily definitely meant children fiveyearold daycare child managed quickly abandoned one three years olds could grasp lifting legs ended stopping halfway walking rest way needed improvement would make little wider two year olds younger would get legs hung trying sit top slide finally told try swinging leg handle basically isnt maneuverability top children come top step sit otherwise nice starter slide
135154,1,0,4,kids grow getting involved games challenge imagination really cool thing adults love playing games cause us think outside box every apples apples doesnt seem direct counterpart young ones especially school yet saw dont make laugh got really excited looked like could game kids kids love laugh play act pretty much center attention required fun gameplay sadly every child like tone dont make laugh change rather abruptly kid shy reserved plain unimaginative gets play becomes rather dullgameplay also need improvement idea handing awards works certain degree kids inherently competitive doling awards handful kids sure spark scorn hurt feelings never fun keeping score also hard give awards everyone since tell awards better others awards also tad hard award since kids arent things niece particular sits giggles embarrassed like snorts gets little stage shes also first kids break cry doesnt get awardalso play round tad confusing clunky hard judgebut little quibbles children love give stuff act fun getting involved also pretty cool make sure kids life active imaginations otherwise lot sitting awkward laughterand good kind awkward laughter
