,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,clean_text,rating
29071,A2R344XCNP1GSM,B000EQHIY6,KG,"[8, 8]","I wish I had bought this sooner for my 3 yr old daughter. She loves playing with it. In a few days time she has learned almost every number by sight. She enjoys matching up each character (each one is holding a number) with their spot on the play mat. I would jokingly say ""OK, I'm going to put this FOUR on the mat"" while holding a SEVEN & she would giggle uncontrollably and say ""That's NOT A FOUR"". If she forgets the name of a number she can find out for herself by simply placing it on the proper spot on the mat. I thought this feature alone was well worth the money. The other counting and play parts are just an added bonus. Yes the mat has a little fold in it from the way it was packaged but it doesn't affect the play at all......",5.0,Excellent Educational Tool,1164499200,"11 26, 2006",wish bought sooner yr old daughter loves playing days time learned almost every number sight enjoys matching character one holding number spot play mat would jokingly say ok im going put four mat holding seven would giggle uncontrollably say thats four forgets name number find simply placing proper spot mat thought feature alone well worth money counting play parts added bonus yes mat little fold way packaged doesnt affect play,1
3761,AQWSPFJS2ENQK,B00000IV95,K. Hyde,"[0, 0]","As I noted in my title, I think that's the best way to describe this game.  Letters that are more difficult to use have higher point values, though there are some ""Qu"" cards vs. just a ""Q"" card, but that also makes a difference in points.  It's quick to play, easy to catch on to and very portable.  Scrabble is one of my favorite games, but takes seemingly forever to play - this provides a very enjoyable word game experience.",5.0,Best described as a cross between Scrabble and rummy...,1294012800,"01 3, 2011",noted title think thats best way describe game letters difficult use higher point values though qu cards vs q card also makes difference points quick play easy catch portable scrabble one favorite games takes seemingly forever play provides enjoyable word game experience,1
2760,AZ03C378RHT6J,B00000DMF5,,"[0, 0]",perfect for my 4 year olds.,4.0,Four Stars,1405209600,"07 13, 2014",perfect year olds,1
140352,A3EFHGFK4C1HVN,B00A7MSE0Y,Amazon Customer,"[1, 1]",I bought the Green Arrow action figure to add to my collection. It looks really good among the other action figures.,5.0,Green Arrow Action Figure,1378425600,"09 6, 2013",bought green arrow action figure add collection looks really good among action figures,1
61676,A225L8NTXN221E,B0024H7OF6,Dee T Allsop,"[0, 1]","This was a really fun and creative game.  It has a lot of rules and was a bit intimidating to learn. Once you have played it once, it all clicks and you should have no problem. Great game for those who like to strategize and you can play with a good sized group.  Probably too hard for youg oor preteen kids, but it was a fun game, none the less.",4.0,Unique game but steep learning curve,1371945600,"06 23, 2013",really fun creative game lot rules bit intimidating learn played clicks problem great game like strategize play good sized group probably hard youg oor preteen kids fun game none less,1
28237,A33HIWZDJEDXO1,B000E9DPVI,"Karen McCann ""nitetime reader""","[0, 0]","I bought 2 of this puzzle, one for a 2-year old and another one for a one-year old whose parents will help him with it.  The colors are great, the animals are cute.",5.0,Bought 2,1381363200,"10 10, 2013",bought puzzle one year old another one oneyear old whose parents help colors great animals cute,1
14776,A1EOIFZ6RF03D0,B000096R0P,Marta,"[1, 1]","Although I find it fun and highly educational, my 20 month old daughter doesn't seem to care for it too much.  It may be that it doesn't respond to her touch fast enough or that it is not sensitive enough.  She gets frustrated and moves on to her more traditional toys.",3.0,Recommend,1072656000,"12 29, 2003",although find fun highly educational month old daughter doesnt seem care much may doesnt respond touch fast enough sensitive enough gets frustrated moves traditional toys,0
152863,A3BAOIC7JMCY6R,B00CDGA68U,"RPK ""Professional Shark Tamer""","[0, 0]","I have a two year old niece and a 9 month old niece and both of them adore this adorable Fisher Price play house. The colors really drew both of them in. Of course, the 9 month old is highly supervised when playing around this as it is meant for children age 1-4. I think she is perfectly fine with this though as there aren't really any pieces that are small enough to get into her mouth. We also have the Disney Princess Fisher Price castle and they go nuts over that! My two year old niece squeals whenever this set makes noises when she plays around with the features. She gets SO excited! She loves playing house with the mommy and daddy toys and she is constantly moving the baby toy around the home. It's too cute!Overall, easy to put together as well. It didn't take too long. The Disney Princess castle was much more work than this setup. This took about 15 minutes give or take a few. The quality of this is a little ho-hum. A little bit shaky and cheap feeling but the kids love it so that's the most important thing.We love that the girls can put any of there existing Fisher Price Little People into the house to mix it up. It's like they have there own Little People community with the sets we have for them in the house! I think this would be a great addition to any house hold with toddlers who love the Little People. This would also be a great introductory house for Fisher Price Little People newbies!Highly Recommended!",4.0,Fun for toddlers!!!,1372118400,"06 25, 2013",two year old niece month old niece adore adorable fisher price play house colors really drew course month old highly supervised playing around meant children age think perfectly fine though arent really pieces small enough get mouth also disney princess fisher price castle go nuts two year old niece squeals whenever set makes noises plays around features gets excited loves playing house mommy daddy toys constantly moving baby toy around home cuteoverall easy put together well didnt take long disney princess castle much work setup took minutes give take quality little hohum little bit shaky cheap feeling kids love thats important thingwe love girls put existing fisher price little people house mix like little people community sets house think would great addition house hold toddlers love little people would also great introductory house fisher price little people newbieshighly recommended,1
29816,A2FG90RW53W8WS,B000EULXA2,Hello,"[3, 3]","As of this writing, this toy along with its counter parts is not part of the lead recall.  That being said, we love this toy.  It holds my eleventh month attention.  To turn it on is very simple because all you do is push the green button.  The animals are a great teaching tool because he learns as he plays.  Some of the animals make noises so while he is away from the train; he has the animals to play with while we are on the road.  We have bought two of the other sets that connect with the train and we have not seen any problems with the train pulling all at once.  We have had the toys for about four months and they have not failed to perform.",5.0,FUN TOY!!,1188691200,"09 2, 2007",writing toy along counter parts part lead recall said love toy holds eleventh month attention turn simple push green button animals great teaching tool learns plays animals make noises away train animals play road bought two sets connect train seen problems train pulling toys four months failed perform,1
166235,A3LYC2ML2MNVML,B00GNBDZXE,irene,"[0, 0]",these make great projects. They did not take to long to get to me. Will be back to get more.,5.0,bands,1403740800,"06 26, 2014",make great projects take long get back get,1
