original_index,true_label,predicted_label,actual_review_score,text
6,0,1,3,although find fun highly educational month old daughter doesnt seem care much may doesnt respond touch fast enough sensitive enough gets frustrated moves traditional toys
22,0,1,3,prosshipping fasti love comes different varity stampsgood price themmakes great goodybag toyconthe stamps didnt really work even paper let
27,0,1,2,excited idea prospect getting wacky chan version batman got ta say final product kinda hurtinwhy well head grossly scale super large fact single largest head sculpt applied dc figure ever joke looks really strange bugs heck sure creatorsdesigners figure dont notice italso head cant even look one suspicious swivel type necks plagued dc universe classics waves paint drab fact isnt really paint figure would benefited nice black wash sort darker shadows lack rocker ankles dc figures word sucksthe baseball bat accessory severely warped way packed blisterbatmite best reason buy product hes cool looks dope black grey duds
39,0,1,3,kids pretty spread ive toy buying love concept sand water tableso much ive owned half dozen iterations search perfect one havent found yet one bought last year year old ok theres little room play side nice water tower annoying constantly popping apart since one main attractions water side thats big problem guess summer send search another one
51,0,1,2,looking forward getting autistic son camera loves take photos week went pack aa batteries insane never happened leappad worth trouble money
52,0,1,2,arrived bum tx transmitter took figure id already damaged heli couldnt return gave buddy since two could use parts bought blade mcx enjoying real heli
66,0,1,3,family member gifted excited receive im sure source great joy
75,0,1,3,cost lot arrived storage box bashed almost unusable future storage kids like considering condition box price jacked high mailing package intact plenty protective inflated plastic damaged transit seller made clear box damaged fortunately contents appear ok
79,0,1,3,monster high themed skulls typical colors assembled set wasnt much place hide things thats daughter played one time day arrived hasnt given play time since im sure donated soon toys longer interest
80,0,1,3,kids loved product twins great product large size hord alphabets play without fights glad went larger size side couple letters need magnets stick frig slip
93,0,1,3,item bought little guy likes push buttons make animals sing could care less noticed many reviewers daughters love toy may suggest son get something else although toy cute well made doesnt provide much educational value hold interest boys long think girls creative play qualities types toys require whereas boys prefer something little action toy stuck back room hasnt played months
110,0,1,3,one side printing good enough birthday party moms even wanted one thin sewn poorly though
111,0,1,3,bought one core sets came impressed quality got second set disappointed minis bit warped xwing guns curved tie fighters wings bent
115,0,1,3,usually love cranium games ask participants creative follow rigid rulesunfortunately us game fell shortthe premise choose phrase card three choices draw picture represents phrase hide picture temporarily one knows phrase picture drew participants put pictures provided scroll holders pile picks someone elses rounds continue take turns writing phrase matches picture drawing picture interpret previous phrase eventually need guess one beginning looking last probably mangled picture scroll pictures phrases including original one hidden lot like picture version old telephone game try see message mangled time gets end line translatorsthe problems arise ways phrases specific enough subject huge interpretation ability illustrator real detriment especially smaller child playing children adults children real disadvantage much easier spot drawing knowing people playing makes family play difficultthis cranium disappointment unfortunately perhaps larger group adults would good mix family kids doesnt cut
136,0,1,3,cars noisy tend crash put ramps son likes putting balls ball popper toy still makes noises also likes cars rattle little ball spin different colors actually roll relatively well carpet well dont work well ramp part toy
150,0,1,2,thanks hunger games driving demand christmas overall good nerf gun terrible performance
151,0,1,3,almost never write reviews pretty disappointing buy mouths bent shape every single puppet clothes almost see trough thin also fairly small hands hands barely fit inside putting puppet shows daughter easy comfortable happy see exactly listed though boy dolls girl dolls different ethnicities gave product stars price low known wasnt going amazing quality would settled good quality either way kind wish invested couple melissa doug puppets
152,0,1,3,received pencils one lead already broke sharpened reduced size quite bit leads break easily colors lighter pencils ive even dark colors lighter look
153,0,1,3,get pay gag gifts like flying monkey retrospect would save money gift fun minute enjoyment gone bought teenagers stockings christmas
161,0,1,3,big fan ofoliviathe pig started five years ago daughters obsession books two black white red contrasts along fun loving story line enough encourage ask nearly every night long long time theolivia playsetbecame available must herthe house well crafted two sides fun simply open one side ride waves pirate olivia close reopen second side reveal bedroom kitchen living room flip flop house wondrous idea ingenious allows two modes play keep child mine entertained timethe accessories included enough keep daughters entertained many occasions suggest additional olivia figurines figurine sets tend great quality large pieces set however pieces survive several weeks play includes tree pirate side standup mirror bedroom size think stepped point sticker addons favorite really extra necessary continued playtimeoverall nice playhouse child olivia fan really must mentioned recently added additional olivia sets collection hope continue seeing olivia toys character simply magnificent
173,0,1,3,bought gift daughters st birthday based past experience melissa doug toys usually well made really creative kid loves train problems construction made rate lowerthis big train previous reviews mentioned car long palm blocks produce fit inside long thumb pieces interesting kid loves taking everything loading train cars either matching pieces toys rocks crayons fit pretty nicely apparently drives smoothly easy manipulate chubby baby handsthe biggest problem train crappy wood plastic parts glue usually md products wood nicely constructed wheels joining segments train car plastic already gotten torn driven sand gravel week play also worry plastics china wasnt thrilled see parts wooden parts also usual md quality train car sides pressed thin layers wood solid pieces produce boxes arrived cracks wood see glue many seams wooden piecesnone things affect play value toy well designed busy little hands would happily paid much better made product unfortunately dont think fun little toy survive play passed
176,0,1,1,two problems game first violence child advance gaming mode humans must killed tried avoid fighting could go next screen one star wars game unacceptable children learn avoiding fight always option leapfrog defends choice saying children never see blood stay true character well perhaps homicidal depressed character appropriate choice leapfrog game begin secondly spelling easy mode easy first test son got spell laugh would consider kindergarten level word really regret reading reviews first really regret giving sons delighted reaction builtin leapfrog advertising explorer issue well please learn mistakes run away product
202,0,1,3,however chipped almost immediately didnt think rough put away gift aunt received first set cracked tea pot return new one good anything water tea pot dribbles pour replaced greentoys tea set much fun new set
207,0,1,2,wouldnt recommend wanted good replicas animals workmanship pieces leaves lot desired guess good deal price
221,0,1,2,bought cart yo daughter christmas much enjoyed playing months lasted cute light enough toddler easy put together made cheap material without abuse misuse daughter bent permanently lopsided longer fun easy push daughter never tried climb overload heavy objects simply poorly quality made last would recommend shelling extra dollars one sturdy carts
222,0,1,2,weve device couple months son playing educational games ipad years really enjoys hoping would take place ipad could device learn play didnt quite work waythe first month son didnt touch husband deployed ipad son original ipad husband came home got ipad mini first generation went sister son share ipad happened started paying lot attention leappadright bat complained slow obviously graphics arent clear retina display ipad reaction time also slower mention smaller screenthe biggest problem though cost apps outrageous purchased jake neverland pirates app ipad jake app leappad get well teachesnumber recognitionshapessorting classifyingcounting get educational apps ipad teach things fraction cost free expensive app apple store around rare leappad app prices start go cheapest apps saw two themoverall dont recommend toy especially already ipad dont mind sharing child even dont one youre still shelling quite bit money toy device plus per app want case thats another money pit recommend taking money applying tablet whole family use
226,0,1,3,day age many kids addicted electronic media nice companies like melissa doub still whip oldfashioned toys games require tactile interactionsuspend actually pretty simple game concept player receives group six seven pieces varying lengths take turns hanging grooves kind like jenga first person hang pieces wins knock thing take pieces game also comes die add twister like spin make bit complicatedmy year old nephew year old niece great time two rounds bit bored game probably best small doses small doses lot fun especially animated kids
235,0,1,2,little screaming monkey got personality watching scream flies across room good laugh watching dogs freak try hunt even funnier fun perspective pretty much everything would hope would beunfortunately mine sound lasted around fifteen flings never made peep guess battery especially weak also one hands came flinging since primary parts toy extendable arms felt demonstration poor craftsmanshipso fun durable long lasting enough garner better ranking
241,0,1,1,thing right alphabet song end take great idea manage ruin sorry irritated must read reread least hours reviews wheres elmo popular character cookie monster voices since reader junior hold five books going keep flashcard set animal book hope since able return also ordered tag reader memory hold books suitable year olds hand hold balance time wasted week grand daughters visit rio thought would awesome get english support since mom speaks english
253,0,1,3,im big fan puzzles love puzzles puzzle basically model puzzle pieces ive seen puzzles years always assumed basic heavy cardboard pieces except capable turning corners actually pieces sturdy plastic turns achieved literally bending pieces actually works lot better one might imagine difficult describe pieces bend remain degree angle large works well pieces bit desire straighten building comes together rigidity entire model keeps things place also half dozen scaffolding pieces keep structure solidfrom puzzle aspect incredibly easy pieces numbered back could ignore numbers puzzle would go ridiculously simple crazy hard almost pieces look identical among problems im sure makers added numbers knew would exceedingly frustrating without managed put puzzle together couple hours whereas good sized actual puzzle take days weeks one big mistake made building top half bottom two unlabeled bags pieces randomly opened top pieces first went ahead built problem impossible attach top bottom prebuilt absolutely build ground top downfrom model standpoint attractive enough would put mantle puzzle standpoint easy im unlikely ever put together also would suspect bendable pieces become increasingly prone breaking continually bend straighten repeated builds realization idea puzzle think works well dont think building im fan puzzles want build model would much nice lego set imagine appealing younger builder might actually put shelf back box sitting closet
282,0,1,3,sorta big due really expected try next year real elf shelf go kmart hallmark
294,0,1,2,sadly camera cute well made spends time alone floor bottom toy bin definitely hold yr olds interest minute many laugh learn products much entertaining camera doesnt offer much way interaction two spinning wheels buttons top
297,0,1,1,purchased birthday present granddaughter item came gallon zip lock bag paperwork instructions warranty info etc making wonder used certainly didnt feel like could give gift looked like picked yard sale wrote company never got response sent back got one wal
301,0,1,3,fun toy outside play doesnt work well indoors interferes equipment home son walk close behind order remote pick signal house outside different story worked much longer distances remote perfect small hand two buttons push easy figure son didnt need much help us loud pretty durable multiple kids would recommend getting ones well dont fight one
306,0,1,3,daughter loved gift like many young girls shes obsessed collecting rocks daydreams paleontologist able dig rocks fabulous aware getting nothing hunk dirt five small rocks buried inside small wooden pick digging small brush thing child keep experience took daughter less two hours total rocks dont lose course mine one quite nice rocks could probably buy similar nice little rocks cents nature center bury garden give child similar experience less third price
307,0,1,3,love mattel line dc universe figuresbut aquaman lacks anything make really stand shelf hes new version fourth time mattel given us aquaman cant improve perfection afraid aquaman dc universe classics wave still aquaman one offers new head sculpt inferior wave arthur curry new belt actually quite nice collar outfit also comes trident accessory looks cheap verses trident offered previous aquaman figuresim sucker love mattel line said im glad add shelf figures go far favorite absolutely essential collection already previous aquaman release
333,0,1,3,gift quickly noticed dull activities couldnt really months doesnt really care anymore months months gets go really enjoys opening closing doors mailing letters sick reattach doors couldnt made little sturdier also first cruising could keep walker would fall able keep walking behind however keep eye try pull itll tip right hence peoples safety concerns really weighted little bit better lauren get lot use toy gift would probably choose durable walking toy
347,0,1,2,maker tower lots markers case doesnt quite sure telescopesif get stay make sure carefully take marker tower doesnt come crashing get telescoping feature frustratingwe leave lift lid get marker markers come nice variety colors dry quickly price better choices mr sketch markers might good brand start withthe quality superb
348,0,1,3,old game better young single dating people bit fun ask husband years questions would better single people
350,1,0,4,expected toy made type fabric thin kind rips easily child destructive doesnt flip last bit like
354,0,1,3,isnt called finger paint use one colors natural looking look really nice paper colors wash well little ones shirt still blue stains paint rag used keep muddling colors together pretty much stained colorsi would recommend outdoor play easier clean old clothes child
355,0,1,1,ordered cases gifts case big lots room everything else bad news trunks already stress points making plastic weak vulnerable easier breakage cracking normal play biggest disapointment closing opening trunk locks case extremely hard open close size trunk made difficult line close note husband pinched hands trunk trying close opinion children get hurt using item life threatening injury hurt would recommend item anyone
358,0,1,3,overthought tball gift never ever uses likes standard tball insteadthat light easily stay upright yard
365,0,1,3,im really surprised previous reviewer said doesnt tip mo old daughter tip easily tries pull fact husband sit side hold doesnt tip table part heavy hits daughter wouldnt prettyjust look legs go straight whereas leap frog tables legs bulge balance stability thats big complaint otherwise fun colorful
371,0,1,2,another funonchristmasday sits idle closet takes space landfill years kind toys room kids using imaginations kids play three times get bored forget please wellmeaning grandpas grandmas kids days many batteryoperated talking moving plastic toys theyre even appreciated anymore treat grandkids outing park zoo museum instead give coupon afternoon baking grandma woodworking grandpa
390,0,1,2,fun first gets boring whilemovement car fast totally chaotic steering car change direction bumping obstacle eg outer fence course also flip course occasionally get kind frustrating happens times row stunts car performs spectacular really limited flipping midair seen times looses novelty quicklythe whole toy made plastic especially fence flimsy feeling obviously designed durability one top goalsbut really infuriates power supply car rechargeable battery clip pistolgrip trigger device loads rechargeable battery car using aa batteries grip since one charge holds minutes draining aa batteries grip fast rate replacing expensive use rechargeables grip least couple sets available takes time recharge rechargeables playset fun short leads frustration long run
393,0,1,3,okay perfect description toy lot letters words make time cute seem durable set bought lower case letters probably need buy upper case letters cute great
402,0,1,3,fun toy son likes always shoot shut properly heavy clunky working part time worth hassle long run like shoots nerf like bullets shoots four right really annoying usually help toy bullets shoot seconds also shot two sides straight
407,0,1,2,son loves bruder trucks got couple bruder men also lost leg within week luckily husband able super glue back havent issues willing fix good purchase
426,0,1,3,bought toy month old loves bright colors musical things diappointed bored moment placed hands unimpressed pop head music shape large manipulate though durable nothing broke yet plays tough dont think worth money dont recommend
448,0,1,3,got gift grandsons list hour two happy much movable items didnt keep attention long yr old
467,0,1,3,im lego fan since months tries collect sets series since quite pirates caribbean decided go set frank im satisfied thisi already lot lego sets believe im modest saw lot set didnt find anything made say wow sets contains lego structure set definitely didnt anything special lighthousekindastructure already many lego castles stuff like leave set dont buy itthis set contains six minifigures one mediumsize structure set also contains two small black boats two fishing nets lighthousestructure included set following features light point focus drum turns spills explosives cannonshells whatever small cannonkindathing fires fishing net switch collapses part lighthousemaybe diehard lego fan might love set kids definitely love honestly kids love anything lego thing found good set two mermaid minifigs really cute minifigs okay two black boats coolin end would say buy mermaid minifigs separately ebay site definitely give set miss lot better sets wish hadnt spent hardearned money could waited awesome sets coming ninjago tmnt galaxy squad
470,0,1,2,hasbro spammed new monopoly game monopoly city much love hate monopoly still warned traditional monopoly game play strategies quite differentthe goal monopoly city make opponents go bankrupt money predetermined time reached thus objective monopoly city identical predecessors achieve goal differ substantiallyplayers still pass go collect million yes said mthats iconography monopoly money also players still go jail land free parking landing free parking gains getoutofrentfree card two tax spaces luxury income replaced two industry tax spaces wil pay industry buildingsnote board also different names properties really chrome center board playable development regionthere several color coded squares center board placing fancydancy new buildingsand new buildings definitely fancy improve lot need erect industrial residential buildingsthe amount rent property worth based upon many buildings developed buildings residential industrialthere hazard buildingsplacing hazard development area renders residential buildings worthless wants live next dump prison protect investments building special buildingsonce youve built school park wind farm water tower development zone protected hazardsthe buildings different shapes sizes buildings worth block blocks value property based upon many blocks developed players also double rent buying skyscrappers monopoly tower allowed build property without normal limitation properties color happen get properties color buy skyscrapper double rent get properties two colors buy monopoly tower double rent properties one monopoly tower hurryso far goodthe action center board looks interesting must purchase property develop choice buildings long term planning sucked game desingers may benefit fewer buildings district skyscrappers hazards special buildings count towards thus industrial buildings dump skyscrapper goodtogo need plan developments long term need decide place buildings buildings shaped differentl fit squares l shaped square etc doesnt matter simply move around within distict district gets crowded different industrial residential buildings simply denominations really long term investments may swap different values timethe board layout completely counterintuitivewhere token lands could long way look see property developed cause great deal confusion landed property could instantly see houses see identification color number locate district center board like districts dont get wrong board layout could robust example spaces board token travels neednt uniform size could redesign board districts intuitively located next token lands thus ending confusionthen theres trading unithas ever useless piece chrome trading unit requires two aaa batteries included purpose trading unit randomly determine many buildings allowed build buzzer lands may build many buildings buzzer lands railroad may build railroad stop allows move railroad stops skirting need pay opponents rent trading unit also acts timer auctions game end really see usefulness trading unit maybe im blindthe pieces pretty look made styrene plastic take abuse board quite colorful better hasbro games inferior rio grande ffg games game play still monopolyistic enough reach serious gaming tables bits nice would cool someone made eurostyle rules
488,0,1,3,daughter loves stick tattoos usually buy sheets auction sites pennies seeing box accessories picture figured would good buy looked like came lot got opened box mostly air contained sheets really small tattoo pictures half sheet alphabet characters extremely cheap star sponge spray bottle tattoos stick fine wide assortment designs glitter makes look nice guess cost went box though would buy certainly updatewent dollar tree bought packet tattoos guessed dollar pretty much exact ones large mixer various things tattoos nice get way better deals places help keep china getting money time
493,0,1,2,bit small complicated year half boy many pieces either
494,0,1,3,really dont review product purchased gift friend keep getting requests write review im reminders stop
505,0,1,2,bought christmas gift son thinking brother build together took peices box minutes frustration went back havent come back directions arent clear
512,1,0,4,admit find seahorse spooky much decided return minute opened package didnt months later finally starting use baby finds calming soothing surprisingly thing chew put next quiet like loud enough hear little big carry around diaper bag stays home wish machine washable price falls apart gets grimy buying new one could considered overall cute product definitely serves purpose
514,0,1,1,bought new amazon thought would come one character came one little person driver really disappointed wheels turn wheels light turn weird disappointed usually little people toys good quality money would recommend bus
525,1,0,5,ok south pacific indian chinese barbie much say wheels work car
529,0,1,3,agree posters activities fun lion snake big fail almost impossible kids age cut right away especially scissors box pretty much ended trashing recommend cut even defeats purpose child lets also glue stick activities require love dryerase books marker hasnt last long enough really enjoy find another marker crayons awkward kids use would rather seen normal ones think worth paid one third normal price kids really enjoyed think overpriced got two sets kept yo twins busy hours even though well able reuse dryerase books eventually
531,0,1,3,wheels closer one meant take n play series tracks portable setsthat said love crafted engaging push button utters different clear phraseswish could make regular tracksone thing magnetic pull front caboose genious dont trains
538,0,1,1,general picture see kettle rounded small silver button top real thing straight redbig round button top deceiving
549,0,1,3,boys love anything everything comic character related particularly love spiderman saw remotecontrol toy hasbro holiday flyer thought would nice get one review first thing struck opened box lightness toy almost bit fragile handle carefully child lightness character necessary climb wallsthe controller needed batteries order work inserted four required batteries decided charge spiderman right away spiderman switch button put right away vacuum starts place toy wall really stays without help vacuum bit noisy took controller proceeded walk spiderman wall fun definitively outoftheordinary charge works minutes need recharge spiderman controller order play againseeing spiderman crawling wall bedroom got reminded oldest son decided one day climb walls years old thought hilariousthe amazing spiderman rc speed climbing spiderman outoftheordinary gift give boy life like mentioned charge time minutes suspect son find new territories explore spiderman fully recharged
556,0,1,2,son got year ago tore like madman everything grew bored talked phone bench turned sons favorite stepstool
558,0,1,3,expansion another type currency added potions cards set potion cost well cost coins takes buy card mechanic would ok except fact pretty much good cards set require potions buy b hard guarantee potions always come want potion mechanic affective could said love love love dominion fact matter set good cards bet requiring potions buy far dominion expansions go one bust
572,0,1,3,great quality shes bit ugly detailed licorish hair
579,0,1,3,daughter loves doll dont even use bottle potty mess literally sit potty give bottle difficult sitting upright trying get water gravityanyway bottle leaks baby wets instantly really ideal potty training doll nice clothes fun easy daughter
587,0,1,3,whole thing flimsy falls apart easilyrecommend using duct tape keep stand togetherotherwise putting together every minuteshaving said lot fun kids well adults priceif lasts one summer ok
598,0,1,3,got gift grandson say kids werent thrilled didnt seem find interesting appealing quickly passed favor gifts kids aged dont know older kids might enjoy
